source_file,match_id,round_number,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,winner
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,22,Jam,defense,19350,13500,5850,0,2,9,12,-3,enemies
match3.json,3b12dd4c-f35d-45f7-8b4e-feaaf776e9c6,23,Jam,defense,20300,9000,11300,0,2,10,12,-2,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,1,Canyon,defense,0,0,0,0,0,0,0,0,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,2,Canyon,defense,4000,13000,-9000,0,0,1,0,1,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,3,Canyon,defense,12250,6400,5850,0,0,1,1,0,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,4,Canyon,defense,20450,14850,5600,1,1,1,2,-1,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,5,Canyon,defense,24150,13250,10900,2,2,2,2,0,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,6,Canyon,defense,27350,12650,14700,2,4,2,3,-1,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,7,Canyon,defense,27450,13400,14050,2,4,2,4,-2,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,8,Canyon,defense,35250,11250,24000,1,4,2,5,-3,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,9,Canyon,defense,40350,17850,22500,1,3,2,6,-4,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,10,Canyon,defense,42600,7050,35550,1,3,2,7,-5,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,11,Canyon,defense,44300,12050,32250,1,2,3,7,-4,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,12,Canyon,defense,43350,19650,23700,1,3,4,7,-3,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,13,Canyon,attack,3200,34450,-31250,2,1,4,8,-4,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,14,Canyon,attack,6100,4000,2100,0,0,4,9,-5,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,15,Canyon,attack,13450,16800,-3350,0,0,4,10,-6,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,16,Canyon,attack,17450,17800,-350,0,0,4,11,-7,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,17,Canyon,attack,14050,27100,-13050,2,0,5,11,-6,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,18,Canyon,attack,18200,19350,-1150,4,1,6,11,-5,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,19,Canyon,attack,16550,18350,-1800,3,2,6,12,-6,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,20,Pitt,defense,23850,6750,17100,0,1,10,9,1,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,21,Pitt,defense,21400,11650,9750,1,2,11,9,2,allies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,22,Pitt,defense,21700,5300,16400,3,1,11,10,1,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,23,Pitt,defense,20500,12900,7600,2,1,11,11,0,enemies
match4.json,edd60c2e-b33c-412d-9b52-39f9946823e0,24,Pitt,defense,22700,3450,19250,1,0,11,12,-1,
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,1,Ascent,attack,0,0,0,0,0,0,0,0,
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,2,Ascent,attack,1800,4000,-2200,0,0,0,1,-1,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,3,Ascent,attack,15000,0,15000,0,0,0,2,-2,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,4,Ascent,attack,7250,16650,-9400,1,0,0,3,-3,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,5,Ascent,attack,7300,20050,-12750,2,1,0,4,-4,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,6,Ascent,attack,25150,0,25150,4,3,0,5,-5,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,7,Ascent,attack,21850,33000,-11150,2,3,0,6,-6,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,8,Ascent,attack,28050,36900,-8850,3,1,1,6,-5,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,9,Ascent,attack,31200,31100,100,2,0,2,6,-4,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,10,Ascent,attack,35450,22550,12900,3,0,3,6,-3,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,11,Ascent,attack,37200,20700,16500,2,2,4,6,-2,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,12,Ascent,attack,31300,17200,14100,2,0,5,6,-1,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,13,Ascent,defense,15650,14050,1600,2,3,5,7,-2,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,14,Ascent,defense,4000,14600,-10600,0,0,6,7,-1,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,15,Ascent,defense,10800,17650,-6850,0,0,7,7,0,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,16,Ascent,defense,12950,21900,-8950,1,1,8,7,1,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,17,Ascent,defense,18300,27150,-8850,0,2,9,7,2,
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,18,Ascent,defense,15550,37750,-22200,0,1,10,7,3,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,19,Ascent,defense,17950,31250,-13300,2,1,10,8,2,enemies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,20,Ascent,defense,6300,22350,-16050,0,2,11,8,3,allies
match5.json,8e406152-59c4-4706-a6a3-b9ba7248c4a5,21,Ascent,defense,0,24400,-24400,2,3,11,9,2,
