round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner,att_full_buy,def_full_buy,att_eco,def_eco,ult_adv,alive_ratio,kill_progress
3,8,1,0,17750,2850,14900,0,0,0,2,-2,1,1,0,4,4,0,1,0,0,0,0,1,0,0.5,0.8
4,1,1,0,21900,4400,17500,0,0,0,3,-3,4,5,-1,0,1,-1,0,0,1,0,0,1,0,0.4444444444444444,0.1
4,2,1,0,21900,4400,17500,0,0,0,3,-3,3,5,-2,0,2,-2,1,0,1,0,0,1,0,0.375,0.2
4,3,1,0,21900,4400,17500,0,0,0,3,-3,2,5,-3,0,3,-3,1,0,1,0,0,1,0,0.2857142857142857,0.3
4,4,1,0,21900,4400,17500,0,0,0,3,-3,2,4,-2,1,3,-2,1,0,1,0,0,1,0,0.3333333333333333,0.4
4,5,1,0,21900,4400,17500,0,0,0,3,-3,2,3,-1,2,3,-1,1,0,1,0,0,1,0,0.4,0.5
4,6,1,0,21900,4400,17500,0,0,0,3,-3,2,2,0,3,3,0,1,0,1,0,0,1,0,0.5,0.6
4,7,1,0,21900,4400,17500,0,0,0,3,-3,1,2,-1,3,4,-1,1,0,1,0,0,1,0,0.3333333333333333,0.7
4,8,1,0,21900,4400,17500,0,0,0,3,-3,0,2,-2,3,5,-2,1,0,1,0,0,1,0,0.0,0.8
5,1,1,0,25750,12850,12900,2,3,1,3,-2,4,5,-1,0,1,-1,0,1,1,0,0,0,-1,0.4444444444444444,0.1
5,2,1,0,25750,12850,12900,2,3,1,3,-2,4,4,0,1,1,0,1,1,1,0,0,0,-1,0.5,0.2
5,3,1,0,25750,12850,12900,2,3,1,3,-2,4,3,1,2,1,1,1,1,1,0,0,0,-1,0.5714285714285714,0.3
5,4,1,0,25750,12850,12900,2,3,1,3,-2,4,2,2,3,1,2,1,1,1,0,0,0,-1,0.6666666666666666,0.4
5,5,1,0,25750,12850,12900,2,3,1,3,-2,4,1,3,4,1,3,1,1,1,0,0,0,-1,0.8,0.5
5,6,1,0,25750,12850,12900,2,3,1,3,-2,4,0,4,5,1,4,1,1,1,0,0,0,-1,1.0,0.6
6,1,1,0,16850,10750,6100,1,4,1,4,-3,4,5,-1,0,1,-1,0,0,0,0,0,0,-3,0.4444444444444444,0.1
6,2,1,0,16850,10750,6100,1,4,1,4,-3,4,4,0,1,1,0,0,0,0,0,0,0,-3,0.5,0.2
6,3,1,0,16850,10750,6100,1,4,1,4,-3,4,3,1,2,1,1,0,0,0,0,0,0,-3,0.5714285714285714,0.3
6,4,1,0,16850,10750,6100,1,4,1,4,-3,3,3,0,2,2,0,0,0,0,0,0,0,-3,0.5,0.4
6,5,1,0,16850,10750,6100,1,4,1,4,-3,2,3,-1,2,3,-1,0,0,0,0,0,0,-3,0.4,0.5
6,6,1,0,16850,10750,6100,1,4,1,4,-3,2,2,0,3,3,0,0,0,0,0,0,0,-3,0.5,0.6
6,7,1,0,16850,10750,6100,1,4,1,4,-3,2,1,1,4,3,1,0,0,0,0,0,0,-3,0.6666666666666666,0.7
6,8,1,0,16850,10750,6100,1,4,1,4,-3,1,1,0,4,4,0,0,0,0,0,0,0,-3,0.5,0.8
6,9,1,0,16850,10750,6100,1,4,1,4,-3,0,1,-1,4,5,-1,0,0,0,0,0,0,-3,0.0,0.9
7,1,1,0,20400,17050,3350,2,1,2,4,-2,4,5,-1,0,1,-1,0,1,1,0,0,0,1,0.4444444444444444,0.1
7,2,1,0,20400,17050,3350,2,1,2,4,-2,4,4,0,1,1,0,1,1,1,0,0,0,1,0.5,0.2
7,3,1,0,20400,17050,3350,2,1,2,4,-2,4,3,1,2,1,1,1,1,1,0,0,0,1,0.5714285714285714,0.3
7,4,1,0,20400,17050,3350,2,1,2,4,-2,4,2,2,3,1,2,1,1,1,0,0,0,1,0.6666666666666666,0.4
7,5,1,0,20400,17050,3350,2,1,2,4,-2,3,2,1,3,2,1,1,1,1,0,0,0,1,0.6,0.5
7,6,1,0,20400,17050,3350,2,1,2,4,-2,2,2,0,3,3,0,1,1,1,0,0,0,1,0.5,0.6
7,7,1,0,20400,17050,3350,2,1,2,4,-2,2,1,1,4,3,1,1,1,1,0,0,0,1,0.6666666666666666,0.7
7,8,1,0,20400,17050,3350,2,1,2,4,-2,1,1,0,4,4,0,1,1,1,0,0,0,1,0.5,0.8
8,1,1,0,21900,14850,7050,1,2,3,4,-1,5,4,1,1,0,1,0,1,1,0,0,0,-1,0.5555555555555556,0.1
8,2,1,0,21900,14850,7050,1,2,3,4,-1,4,4,0,1,1,0,1,1,1,0,0,0,-1,0.5,0.2
8,3,1,0,21900,14850,7050,1,2,3,4,-1,4,3,1,2,1,1,1,1,1,0,0,0,-1,0.5714285714285714,0.3
8,4,1,0,21900,14850,7050,1,2,3,4,-1,3,3,0,2,2,0,1,1,1,0,0,0,-1,0.5,0.4
8,5,1,0,21900,14850,7050,1,2,3,4,-1,3,2,1,3,2,1,1,1,1,0,0,0,-1,0.6,0.5
9,1,1,0,19600,7900,11700,1,2,3,5,-2,4,5,-1,0,1,-1,0,0,1,0,0,1,-1,0.4444444444444444,0.1
9,2,1,0,19600,7900,11700,1,2,3,5,-2,3,5,-2,0,2,-2,0,0,1,0,0,1,-1,0.375,0.2
9,3,1,0,19600,7900,11700,1,2,3,5,-2,3,4,-1,1,2,-1,0,0,1,0,0,1,-1,0.42857142857142855,0.3
9,4,1,0,19600,7900,11700,1,2,3,5,-2,3,3,0,2,2,0,0,0,1,0,0,1,-1,0.5,0.4
9,5,1,0,19600,7900,11700,1,2,3,5,-2,2,3,-1,2,3,-1,0,0,1,0,0,1,-1,0.4,0.5
9,6,1,0,19600,7900,11700,1,2,3,5,-2,1,3,-2,2,4,-2,0,0,1,0,0,1,-1,0.25,0.6
9,7,1,0,19600,7900,11700,1,2,3,5,-2,0,3,-3,2,5,-3,0,0,1,0,0,1,-1,0.0,0.7
10,1,1,0,21600,10500,11100,2,1,4,5,-1,5,4,1,1,0,1,0,1,1,0,0,0,1,0.5555555555555556,0.1
10,2,1,0,21600,10500,11100,2,1,4,5,-1,4,4,0,1,1,0,0,1,1,0,0,0,1,0.5,0.2
10,3,1,0,21600,10500,11100,2,1,4,5,-1,3,4,-1,1,2,-1,0,1,1,0,0,0,1,0.42857142857142855,0.3
10,4,1,0,21600,10500,11100,2,1,4,5,-1,2,4,-2,1,3,-2,0,1,1,0,0,0,1,0.3333333333333333,0.4
10,5,1,0,21600,10500,11100,2,1,4,5,-1,2,3,-1,2,3,-1,0,1,1,0,0,0,1,0.4,0.5
10,6,1,0,21600,10500,11100,2,1,4,5,-1,1,3,-2,2,4,-2,0,1,1,0,0,0,1,0.25,0.6
10,7,1,0,21600,10500,11100,2,1,4,5,-1,1,2,-1,3,4,-1,0,1,1,0,0,0,1,0.3333333333333333,0.7
10,8,1,0,21600,10500,11100,2,1,4,5,-1,0,2,-2,3,5,-2,0,1,1,0,0,0,1,0.0,0.8
11,1,1,0,21800,17650,4150,1,3,5,5,0,5,4,1,1,0,1,0,1,1,0,0,0,-2,0.5555555555555556,0.1
11,2,1,0,21800,17650,4150,1,3,5,5,0,5,3,2,2,0,2,1,1,1,0,0,0,-2,0.625,0.2
11,3,1,0,21800,17650,4150,1,3,5,5,0,4,3,1,2,1,1,1,1,1,0,0,0,-2,0.5714285714285714,0.3
11,4,1,0,21800,17650,4150,1,3,5,5,0,3,3,0,2,2,0,1,1,1,0,0,0,-2,0.5,0.4
11,5,1,0,21800,17650,4150,1,3,5,5,0,3,2,1,3,2,1,1,1,1,0,0,0,-2,0.6,0.5
11,6,1,0,21800,17650,4150,1,3,5,5,0,3,1,2,4,2,2,1,1,1,0,0,0,-2,0.75,0.6
11,7,1,0,21800,17650,4150,1,3,5,5,0,2,1,1,4,3,1,1,1,1,0,0,0,-2,0.6666666666666666,0.7
