round_number,map,local_team_side,economy_diff,att_ults_ready,def_ults_ready,score_diff,winner
-1.4987698141885561,-0.44662264444049493,0.9948848769417228,0.5545110938476202,-1.1392342978854473,-1.0621208347605184,-0.28383756296020474,0
-1.340076539745062,-0.44662264444049493,0.9948848769417228,0.5328849208967524,-0.3624836402362786,-0.26807522666479533,-0.55716262358855,0
-1.181383265301568,-0.44662264444049493,0.9948848769417228,-0.35739253224730333,-0.3624836402362786,-0.26807522666479533,-0.8304876842168952,0
-1.0226899908580735,-0.44662264444049493,-1.0051414220648334,2.071947562566841,-1.1392342978854473,-1.0621208347605184,-1.1038127448452406,0
-1.6574630886320503,-0.9178115479530098,-1.0051414220648334,-0.09066973251993443,-1.1392342978854473,-1.0621208347605184,0.26281255829648587,1
-1.4987698141885561,-0.9178115479530098,-1.0051414220648334,-0.43668849973381846,-1.1392342978854473,-1.0621208347605184,-0.28383756296020474,0
-1.340076539745062,-0.9178115479530098,-1.0051414220648334,0.9834301907064973,-1.1392342978854473,-1.0621208347605184,-0.55716262358855,0
-1.181383265301568,-0.9178115479530098,-1.0051414220648334,1.1708570229473512,-1.1392342978854473,-1.0621208347605184,-0.8304876842168952,0
-1.0226899908580735,-0.9178115479530098,-1.0051414220648334,0.839255704367379,0.41426701741289,1.3200159895266508,-0.55716262358855,1
-0.8639967164145794,-0.9178115479530098,-1.0051414220648334,0.3490624508143766,-0.3624836402362786,2.1140615976223742,-0.8304876842168952,0
-0.7053034419710853,-0.9178115479530098,-1.0051414220648334,0.1508225320980888,0.41426701741289,-0.26807522666479533,-0.55716262358855,1
-0.5466101675275911,-0.9178115479530098,-1.0051414220648334,0.4175453318254578,-0.3624836402362786,0.5259703814309278,-0.28383756296020474,1
-0.38791689308409694,-0.9178115479530098,-1.0051414220648334,0.752751012563908,-0.3624836402362786,0.5259703814309278,-0.55716262358855,0
-0.22922361864060273,-0.9178115479530098,-1.0051414220648334,0.7094986666621724,0.41426701741289,-0.26807522666479533,-0.28383756296020474,1
-0.07053034419710856,-0.9178115479530098,-1.0051414220648334,0.20849232663373615,-0.3624836402362786,1.3200159895266508,-0.010512502331859434,1
0.08816293024638562,-0.9178115479530098,-1.0051414220648334,0.16523998073200064,0.41426701741289,-0.26807522666479533,0.26281255829648587,1
0.24685620468987982,-0.9178115479530098,0.9948848769417228,-0.9196730289698649,0.41426701741289,-0.26807522666479533,0.5361376189248311,1
0.40554947913337397,-0.9178115479530098,0.9948848769417228,0.6157852505417455,-1.1392342978854473,-1.0621208347605184,0.8094626795531765,1
0.5642427535768682,-0.9178115479530098,0.9948848769417228,0.5220718344213185,-1.1392342978854473,-1.0621208347605184,1.0827877401815218,1
0.7229360280203624,-0.9178115479530098,0.9948848769417228,0.41033660750850187,-0.3624836402362786,-1.0621208347605184,0.8094626795531765,0
0.8816293024638565,-0.9178115479530098,0.9948848769417228,-0.3357663592964356,-1.1392342978854473,-0.26807522666479533,0.5361376189248311,0
1.0403225769073507,-0.9178115479530098,0.9948848769417228,-0.9016512181774752,-0.3624836402362786,1.3200159895266508,0.8094626795531765,1
1.1990158513508449,-0.9178115479530098,0.9948848769417228,-0.5231931915372895,1.1910176750620585,0.5259703814309278,0.5361376189248311,0
1.357709125794339,-0.9178115479530098,0.9948848769417228,-0.5880717103898927,1.967768332711227,0.5259703814309278,0.8094626795531765,1
1.5164024002378333,-0.9178115479530098,0.9948848769417228,0.3346450021804647,1.1910176750620585,-1.0621208347605184,1.0827877401815218,1
-1.6574630886320503,0.4957551625845348,0.9948848769417228,-0.09066973251993443,-1.1392342978854473,-1.0621208347605184,1.356112800809867,1
-1.340076539745062,0.4957551625845348,0.9948848769417228,0.010252407917448412,-1.1392342978854473,-1.0621208347605184,-0.55716262358855,0
-1.181383265301568,0.4957551625845348,0.9948848769417228,-0.44389722405077436,-0.3624836402362786,-1.0621208347605184,-0.28383756296020474,1
