match_id,round_number,map,local_team_side,first_kill_team,winner,score_won,score_lost,hs_stats,att_money,def_money,att_kills,def_kills,att_alive,def_alive,att_ults_ready,def_ults_ready,att_hs_kills,def_hs_kills
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,1,,attack,enemies,enemies,0,1,"{'allies': 0, 'enemies': 0}",4300,4000,2,5,0,3,0,0,0,0
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,2,,attack,enemies,enemies,0,2,"{'allies': 0, 'enemies': 0}",15350,17350,3,9,1,4,0,1,1,4
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,3,,attack,enemies,enemies,0,3,"{'allies': 0, 'enemies': 0}",26000,22600,5,14,0,2,1,1,1,5
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,4,,attack,enemies,enemies,0,4,"{'allies': 0, 'enemies': 0}",27400,35400,6,20,0,4,2,1,3,6
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,5,,defense,allies,enemies,0,5,"{'allies': 0, 'enemies': 0}",5500,31100,11,24,1,0,0,0,3,7
